,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
649,Eucerin Sensi-Rides Anti-Wrinkles Night Cream 50ml,4005800017360,Eucerin,24.50,2.0, 1 ,Cream,50ml,In stock,"Eucerin Sensi-Rides Anti-Wrinkles Night with Ubiquinone, active ingredient naturally present in the cells of our body, significantly reduces the depth of wrinkles upon five weeks of regular use.The formula oil in water also contains Pro-Retinol, which improves cellular renewal during the night."
650,Laboratoire du Haut-Ségala Organic Rose Water 250ml,3559480206961,Laboratoire,7.50,0.0,0,Water,250ml,In stock,"Laboratoire du Haut-Ségala Organic Rose Water 250ml is a water with delicate fragrance that refreshes and tones all skins. Genuine care that gives a good compleion, it is astringent and fades the fine lines of mature skins.Preservative free. Ecological and Organic Cosmetic certified by Ecocert Greenlife according to Ecocert standard.100% of total ingredients are from Organic Farming.Made in France."
651,"Isdin Si-Nails Nail Strengthener 2,5ml",8429420175839,Isdin,15.50,0.0,0,Polish,"2,5ml",In stock,"Isdin Si-Nails Nail Strengthener 2,5ml is a care based on cationic hyaluronic acid indicated to moisturise the nails. This care protects them and improves their appearance. It stimulates growth and increases their resistance in order to avoid them to break. It promotes their remineralisation and their restructuration by increasing the quantity and quality of Silicium and Keratin.It gives to nails and cuticles their natural radiance. It leaves an invisible finish and is easy to apply. The results are visible after 14 days.Dermatologically tested."
652,Ballot-Flurin Organic Queen-Eyes Eyes and Lips 15ml,3760016580794,Ballot-Flurin,20.50,0.0,0,Cream,15ml,In stock,"Ballot-Flurin Organic Queen-Eyes Eyes and Lips 15ml is a care cream that relaxes and illuminates the look.The eyes and lips contours are smoothed, the complexion is even. Its natural components offer each their benefits:- French Organic Royal Jelly smoothes the wrinkles,- White Propolis reduces the puffiness, - Wild Honey illuminates the look,- Vibrating elixir has an emotional action on tiredness.Product under organic certification by Bureau Veritas according to the Cosmos Standard standard.99,80% of total ingredients are from natural origin whose 92,4% are from Organic Farming.Gentle beekeeping, fair trade and local.Made in France."
653,"Incarose Più Volume Extreme Lips Dual-Action Treatment 4,5ml",8002712020118,Incarose,13.20,0.0,0,Cream,"4,5ml",In stock,"Incarose Più Volume Extreme Lips Dual-Action Treatment 4,5ml is a complete treatment with hyaluronic acid to fill in wrinkles and provide volume to the lips.Innovative, this stick offers a volumizing effect instantly visible, combined to a targeted very moisturising and anti-wrinkles action.Outside, the formula of the transparent layer is composed of micro-spheres of hyaluronic acid with fill in effect that fill in and reduce wrinkles, moisturise and highlight the lips. The inside formula of the white heart is rich in botanical extracts and repairing active ingredients, conveying an important volume to the lips, for softer and more fleshy lips.Dermatologically tested. Without added parabens, aroma and fragrance without allergens, silicones, petrolatum derivatives, peg. Tested to nickel."
654,SVR Topialyse Intensive Balm 2 x 400ml,3662361000753,SVR,24.50,5.0, 1 ,Balm,2 x 400ml,In stock,"SVR Topialyse Intensive Balm 2 x 400ml is a lipid-restoring anti-irritation care that allows to act in case of severe skin dryness or itching. It is ideal for dry to atopic skins. This balm allows to relieve immediately and effectively the dry to atopic skins while soothing durably the sensations of itching and irritation. From its application, it offers you a daily comfort as it makes an anti-scratch effect during 48H and an anti-recidivism action.Its unctuous and nourishing texture is applied easily and penetrates rapidly on the skin.Formulated with paraben free, fragrance free and silicon free. Tested under dermatologic control. Hypoallergenic.Made in France."
655,Ladrôme Organic Rose Water 200ml,3486330022849,Ladrôme,8.90,0.0,0,Water,200ml,In stock,"Ladrôme Organic Rose Water 200ml is a floral water based on rose, from artisanal distillation of rose petals of Damas.This beauty product is used from centuries, it tones, purifies and soothes the dry, sensitive and devitalized skins.This flower water suits also perfectly to the mature skins.Applied in lotion, it favours a smooth and unified complexion.Ecological and Organic Cosmetic certified by Ecocert Greenlife according to Ecocert standards.99,4% of total ingredients are of natural origin.99,4% of total ingredients are from Organic Farming. "
656,Ducray Keracnyl Serum 30ml,3282770074468,Ducray,14.50,5.0, 4 ,Serum,30ml,In stock,"Ducray Keracnyl Serum 30ml is a serum for adult blemish-prone skin which helps to eliminate spots and stubborn marks of first wrinkles. This daily care contains an association of innovating and dermatologic actives of reference. It allows a triple action anti-imperfections, anti-marks and anti-ageing. Myrtacine (Patented Innovation) allows to fight against P.Acnes bacteria by limiting its organisation in Biofilm. Vitamin PP soothes the irritations and contributes to reduce the imperfections. Azelaique acid corrects persistent residual marks and wrinkles.After use, the skin is moisturized, clearer and matified. The spots are attenuated, the skin is smoothed and uniform, it finds its natural radiance. Formulated with paraben free. Hypoallergenic. Non comedogenic."
657,Incarose My Feet Ultra-Hydrating Socks,8002712024215,Incarose,5.40,0.0,0,Socks,1 pair of socks,In stock,"Incarose My Feet Ultra-Hydrating Socks is an intensive single use treatment for dry, cracked and rough feet.This mask offers a moisturizing, soothing and smoothing action thanks to the emulsion rich in hyaluronic acid, betaine, argan oil, shea butter and vegetable oils which help restore a good level of hydration and nourish the skin that becomes soft and smooth.Peppermint and eucalyptus prevent the formation of odors while refreshing the feet.From the first applications the results are visible."
658,Ballot-Flurin Ointment from the Hive 50ml,3760016580787,Ballot-Flurin,17.20,0.0,0,Balm,50ml,In stock,"Ballot-Flurin Ointment from the Hive 50ml is a multi-purpose balm rich in beekeeping substances impregnated with the magical vibration of bees. It nourishes, protects and repairs all skin types.A secret recipe that delights young and old alike.The essential:In winter: Protects from the cold and repairs.In summer: Prepares the skin and soothes after exposure.Daily use: Dry areas, feet, make-up remover, hair, beard, aftershave.Its little secrets:Ally for the whole family: Unisex, no age restriction, suitable for pregnant and breastfeeding women.100% natural: No alcohol, no essential oils, no perfumes, no preservatives.99.52% organic: Formula highly concentrated in beekeeping active ingredients.Solid format without water: Highly concentrated melting balm, ideal for massages.Noble organic beekeeping assets :Wax and propolis oil.Raw rosemary honey.French organic royal jelly.Fresh pollen.99.52% of the total ingredients are from Organic Farming, 100% of the total is of natural origin.Certified Cosmos Organic. Controlled by Bureau Veritas according to the Cosmos Standard.No alcohol, water, essential oils or perfume. "
659,Topicrem Gentle Cleansing Milk 200ml,3700281702910,Topicrem,5.99,5.0, 4 ,Milk,200ml,In stock,"Topicrem Gentle Cleansing Milk 200ml gently removes make-up, cleanses and moisturises the face and eyes of sensitive skins.Enriched in beeswax and glycerin, its hypoallergenic formula removes make-up and impurities easily and rapidly. It also removes waterproof make-up.Paraben-free. Tested under dermatological and ophthalmic control."
660,Laboratoire du Haut-Ségala Organic Witch Hazel Water 250ml,3559480204967,Laboratoire,6.90,0.0,0,Water,250ml,In stock,"Laboratoire du Haut-Ségala Organic Witch Hazel Water 250ml is a water rich in flavonoids, that allows it to reinfore the capillary network, attenuating thus the face redness. It is an ideal care for the fragile and sensitive skins. Used in soaked compresses, it allows to reduce the puffiness under the eyes. Witch Hazel water relieves the irritated skins by razor burn or waxing.Ecological and Organic Farming certified by Ecocert Greenlife according to Ecocert standard.99,6% of total ingredients are of natural origin.99,4% of total ingredients are from Organic Farming.Made in France."
661,Montbrun Anti-Aging Concentrate Eyes Lips 20ml,3760075079093,Montbrun,15.40,0.0,0,Concentrate,20ml,In stock,"Montbrun Anti-Aging Concentrate Eyes Lips 20ml with unctuous non greasy texture, firms and reduces the wrinkles of the lips and eyes contours.Composed with more than 57,45% of Montbrun thermal water, this concentrate offers several actions:- a double anti wrinkles action: the Easyliance, active complex based of bio-polyssacharide basis and acacia gum provides a clinically proven lifting effect. After one hour only, the skin is smoother and wrinkles are reduced. The Dipalmitoyl Hydroxyproline is another anti-wrinkles active that will reduce wrinkles progressively and durably.- a nourishing action: the rose hip oil combined to Inca Inchi and avocado oils are excellent active ingredients to fight the effects of aging as rich in antioxidant, vitamins, essential fatty acids.- a soothing action: Montbrun thermal spring water combined to Séné de Provence, softens the skin reducing the cutaneous reactivity, avoiding all sensations of itching.100% of the total ingredients are from natural origin.46,2% of the total ingredients are from organic farming.Formula without paraben, phenoxyethanol, silicone, essentiel oils. Hypoallergenic. "
662,Montbrun Cleansing Milk 200ml,3760075079123,Montbrun,8.10,0.0,0,Milk,200ml,In stock,"Montbrun Cleansing Milk 200ml cleanses, removes make-up and nourishes the face and eyes of dry to very dry skins.The natural and organic certified formula of this milk contains 66,36% of thermal spring water Montbrun but also several other ingredients that complete the formula for:- a soothing action: the thermal spring water Montbrun is here associated with Cornflower to act on the mediators of inflammation.- a cleansing action: the cleansing agent captures impurities, pollution and make-up, even waterproof make-up.- a nourishing action: jojoba oil and Inchi Inca oil preserve the skin hydrolipidic film and offer a protection against free radicals.99,5% of the total ingredients are from natural origin.27% of the total ingredients are from organic farming.Formula without paraben, phenoxyethanol, silicone, essential oils, colouring. Hypoallergenic. "
663,Montbrun Anti-Aging Cream 40ml,3760075079086,Montbrun,18.20,0.0,0,Emulsion,40ml,In stock,"Montbrun Anti-Aging Cream 40ml firms the skin and reduces the face wrinkles.Composed with more than 61.53% of Montbrun thermal water, this cream offers several actions:- a double anti wrinkles action: the Easyliance, active complex based of bio-polyssacharide basis and acacia gum provides a clinically proven lifting effect. After one hour only, the skin is smoother and wrinkles are reduced. The Dipalmitoyl Hydroxyproline is another anti-wrinkles active that will reduce wrinkles progressively and durably.- a nourishing action: Rose hip oil combined to Inca Inchi and avocado oils are excellent active ingredients to fight the effects of aging as rich in antioxidant, vitamins, essential fatty acids.- a soothing action: Montbrun thermal spring water combined to Séné de Provence, softens the skin reducing the cutaneous reactivity, avoiding all sensations of itching.100% of the total ingredients are from natural origin.44.2% of the total ingredients are from organic farming.Formula without paraben, phenoxyethanol, silicone, essentiel oils. Hypoallergenic. "
